S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website
26	CG/2019/0247071	Aashaon Ki Udaan	aashaonkiudaan123@gmail.com	8965879715	Ward No. 15, Civil Line, Darogapara Raigarh (C.G.)	Raigarh	CHHATTISGARH, 	Art & Culture,Children,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Micro Finance (SHGs),Micro Small & Medium Enterprises,Panchayati Raj,Rural Development & Poverty Alleviation,Sports,Vocational Training,Women's Development & Empowerment,Youth Affairs,		
27	CG/2017/0177048	AASHRAY MAHILA KALYAN SAMITI	sumansahu19031985@gmail.com	9827103585	Smt Suman Sahu, House No 23 Aabadi Para Pendri, Ward No 20 Rajnandgaon	Rajnandgaon	CHHATTISGARH, 			
28	CG/2020/0253501	AASHRAY VRIDHJAN SEWA SAMITI RAIPUR	ashrayvridhjansewasamiti821@gmail.com	9993761809	AASHRAY VRIDHJAN SEWA SAMITI RAIPUR C/O SMT. SARIKA VERMA OFFICE NO 105 HANUMAN MARKET RAMSAGAR PARARAIPUR CHHATTISGARH	RAIPUR	CHHATTISGARH, 	Art & Culture,Children,Differently Abled,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Right to Information & Advocacy,Tribal Affairs,Women's Development & Empowerment,		
29	CG/2017/0181106	aasra educational society	aasra.ambikapur@yahoo.co.in	9826156669	NEAR INDIAN GAS GODAM CHANDANI CHOUK AMBIKAPUR SARGUJA	AMBIKAPUR			http://www.aasraes.in	
30	CG/2020/0271469	AASRA MANCH	Aasramanch331@gmail.com	9630341615	gram post bhanpuri jagdalpur	bhanpuri	CHHATTISGARH, 			
31	CG/2018/0191657	AASTHA BAHUDDESHIYA KALYAN SANSTHAN	prakashgedambhilai@gmail.com	9302833345	Qr. No. 23A, AvenueC, Sector2, Bhilai Nagar, Distt. Durg - 490001 (C.G.)	Bhilai Nagar	CHHATTISGARH, 	Differently Abled,Aged/Elderly,Health & Family Welfare,Women's Development & Empowerment,Drinking Water,Micro Small & Medium Enterprises,		
32	CG/2018/0185291	aastha foundation 	aathafoundation@gmail.com	9893653441	south avenu chowbe colony raipur	raipur	CHHATTISGARH, 	Children,Dalit Upliftment,Education & Literacy,Environment & Forests,HIV/AIDS,Vocational Training,Women's Development & Empowerment,		
33	CG/2020/0266106	AAWRAN URJA FOUNDATION	Psmishr4@gmail.com	9685284845	C/oMayankKumarShuklaS/oBhuwneshwarPrasad VilLohariMarwahiOldMarwahiGaurellaPendra Marwahi Bilaspur CT 495118	Marwahi	CHHATTISGARH, 	Education & Literacy,Health & Family Welfare,Labour & Employment,New & Renewable Energy,Rural Development & Poverty Alleviation,Sports,		
34	CG/2019/0232441	Aayucare rehabilitation society	singhankit491@gmail.com	9926633921	AAYUCARE REHABILIATION SOCIETY 138, FIRST FLOOR , SAMTA ARCADE, SAMTA COLONY RAIPUR	RAIPUR	CHHATTISGARH, 	Children,Aged/Elderly,Environment & Forests,Health & Family Welfare,Human Rights,Women's Development & Empowerment,		
35	CG/2019/0243807	AAYUSH SHIKSHA SAMITI RAIGARH	archanalal664@gmail.com	7999739156	Kalyan Colony, behind of railway station, Teh. Raigarh	bilaspur 				
36	CG/2017/0120283	Aayushman Samiti	saayushman786@gmail.com	9584886923	Flat No 4, 2nd Floor, Krishna Plaza, Ashwani Nagar - 492013	Raipur	CHHATTISGARH, 	Agriculture,Art & Culture,Children,Disaster Management,Education & Literacy,Health & Family Welfare,Labour & Employment,Panchayati Raj,Sports,Vocational Training,	http://aayushmansamiti.com	
37	CG/2016/0098601	ABHASH SHIKSHAN AVM  SAMAJIK KALYAN SANSTHAN	abhash5334@gmail.com	7049063361	C-6,MITTAN VIHAR, WARD-27, DALDAL SEONI RAIPUR, 492007	RAIPUR	CHHATTISGARH, 	Education & Literacy,Health & Family Welfare,Any Other,Drinking Water,Environment & Forests,HIV/AIDS,Micro Finance (SHGs),Micro Small & Medium Enterprises,Nutrition,Tribal Affairs,Vocational Training,Women's Development & Empowerment,		
38	CG/2017/0153899	ABHIJEET LOKSANSKRATI SANSTHAN	Abhijeetlokss@gmail.com	9111128748	HOUSE OF DINESH KUMAR KHUTE VILLAGEAURDA, POST AURDA TEHSIL KHARSIYA, DISTRICTRAIGARH (C.G)	RAIGARAH				
39	CG/2018/0206280	ABHILASHA RAJNANDGAON	dilipabhilasha10@gmail.com	9827154231	Thakur Pyarelal School Parisar, Tulsipur, Rajnandgaon	Rajnandgaon	CHHATTISGARH, 	Children,		
40	CG/2019/0239404	ABHINAV BHARTI	amitlalambast@gmail.com	8010599121	Trikon Chowk, Kedarpur, Ambikapur	AMBIKAPUR	CHHATTISGARH, 	Education & Literacy,Environment & Forests,Vocational Training,Youth Affairs,Any Other,		
41	CG/2009/0006213	Abhinav Kalyan Avem Samaj Seva Sansthan	akash.chhattisgarh@gmail.com	9981172115	"SAROJNANDAN"  Street - 1, Mahamaya Vihar, Ware House Road, 495001	Bilaspur		Agriculture,Art & Culture,Drinking Water,Education & Literacy,Environment & Forests,Micro Small & Medium Enterprises,Rural Development & Poverty Alleviation,Tribal Affairs,Vocational Training,	http://akashngo.blogspot.com	
42	CG/2019/0241314	ABHINAV PAHAL SAMAJIK SANSTHA DONGARGARH	neelverma625@gmail.com	7587151941	Ward No.07 village Ramatola	Dongargarh	CHHATTISGARH, 	Art & Culture,Children,Health & Family Welfare,Women's Development & Empowerment,Agriculture,Animal Husbandry, Dairying  &  Fisheries,Differently Abled,Environment & Forests,Human Rights,Labour & Employment,Legal Awareness & Aid,Nutrition,Panchayati Raj,Rural Development & Poverty Alleviation,Sports,Urban Development & Poverty Alleviation,Vocational Training,Youth Affairs,Any Other,		
43	CG/2019/0227835	ABHIYAN	abhiyan.jdp3719@gmail.com	9425261628	NETAJI SUBHASH MARG JAGDALPUR	JAGDALPUR				
44	CG/2018/0202701	ABHUJMARH ADIVASI GRAMIN JAN VIKAS SANSTHAN	bdisasm7@gmail.com	7587751777	NEAR RAM KRISHNA MISSION, SONPUR ROAD NARAYANPUR	Narayanpur	CHHATTISGARH, 	Agriculture,Civic Issues,Education & Literacy,Environment & Forests,Health & Family Welfare,Art & Culture,Children,Differently Abled,Drinking Water,Aged/Elderly,Legal Awareness & Aid,		
45	CG/2017/0154566	Abhyuday Vedant Society	abhyuday.vedant@gmail.com	8970806876	Vande Mataram Bhavan, Church Road, P.O.Kunkuri Dist.Jashpur (Chhattisgarh) Pin496225	Kunkuri	CHHATTISGARH, 	Vocational Training,Children,Education & Literacy,Labour & Employment,Tribal Affairs,Urban Development & Poverty Alleviation,Youth Affairs,	https://www.abhyuday.org	
46	CG/2017/0181315	ACTIVE EDUCATION AND WELFARE SOCIETY CHHATTISGARH	bijendrajiswal111@gmail.com	9826808286	GRAM PACHEDAA CHADKHURI RAIPUR	CHANDKHURI	CHHATTISGARH, 	Any Other,		
47	CG/2020/0261540	ADARSH BHARETI SHIKSHAN SAMITI KIRODIMALNAGAR	pranayagrawal94@gmail.com	9179114150	house no. 126/6 ward no.6 Kokaditarai nagarpost Kokaditarai nagar tahshil	Raigarh	CHHATTISGARH, 	Education & Literacy,		
48	CG/2019/0227854	ADARSH DEWANGAN SAMAJ KALYAN AVAM VIKAS SAMITI	cldewanganonline@gmail.com	8839501881	DURG ADARSH DEWANGAN SAMAJ KALYAN AVAM VIKAS SAMITI ADARSH NAGAR DURG CG	DURG	CHHATTISGARH, 	Any Other,		
49	CG/2018/0193622	ADARSH JAN  EDUCATIONAL SOCEITY RAJNANDGAON	royal.itcollege@gmail.com	7746993232	VILLLAKHOLI,DURGA CHOWK,WARD NO 43,POST RAJNANDGAON,RAJNANDGAON	RAJNANDGOAN				
50	CG/2017/0161357	adarsh jan shikshan samiti	janaadarsh26@gmail.com	9755916755	326 ward no. 18 KalangpurDistt -Balod	Gundardehi	CHHATTISGARH, 	Agriculture,Children,Education & Literacy,		
51	CG/2015/0092314	ADARSH MAHILA PRAUDH SHIKSHA EVAM PRASHIKSHAN KENDRA	jonyshakya@gmail.com	9970896617	ADARSH MAHILA PRAUDH SHIKSHA EVAM PRASHIKSHAN KENDRA, PREMNAGAR , PO BIX - WEST CHIRIMIRI, DISTT - KOREA	PREMNAGAR	CHHATTISGARH, 	Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Children,Civic Issues,Disaster Management,Dalit Upliftment,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Legal Awareness & Aid,Labour & Employment,Minority Issues,Micro Small & Medium Enterprises,New & Renewable Energy,Nutrition,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Sports,Tribal Affairs,		
52	CG/2018/0193245	ADARSH NAGAR AKSHITA MAHILA SWA SAHAYTA SAMOOH	neha.s.n2406@gmail.com	9907316475	AADARSH NAGAR WARD NO 05 KAWARDHA DIST. KABIRDHAM	KAWARDHA	CHHATTISGARH, 	Food Processing,Rural Development & Poverty Alleviation,Tribal Affairs,Urban Development & Poverty Alleviation,Women's Development & Empowerment,		
53	CG/2009/0008355	Adarsh Navyuvak Mandal	anmngo@gmail.com	9479040409	Vill - Bodela   post - Tumdibod  Block - Dongargaon  Distt - Rajnandgaon   pin - 491441	Rajnandgaon	CHHATTISGARH, 	Art & Culture,Children,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Legal Awareness & Aid,Nutrition,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,		
54	CG/2017/0158835	ADARSH PRAHRI SAMAJ SEVI SANSTHA	ap_ngo@yahoo.co.in	9424251143	Nehru Ward, Near Karbala, Ambikapur District- Surguja( Chhattisgarh) Pin- 497001	Ambikapur	CHHATTISGARH, 	Agriculture,Children,Education & Literacy,Environment & Forests,Health & Family Welfare,Legal Awareness & Aid,Panchayati Raj,Tribal Affairs,Women's Development & Empowerment,Youth Affairs,	http://www.adarshprahari.org	
55	CG/2018/0207099	Adarsh seva mandal	sewaaadarsh@gmail.com	9425204371	Devendra nagar sector-3, raipur(c.g)	raipur			https://ngodarpan.gov.in	
56	CG/2018/0204318	ADARSH SINDH BRADAR MANDAL	adarshsindhbradarmandal@gmail.com	9826108108	SAI JHULELAL DHAM,32 ACRES C.G. HOUSING BOARD,INDUSTRIAL AREA,BHILAI, (C.G.)	BHILAI	CHHATTISGARH, 	Art & Culture,		
57	CG/2018/0184945	ADESHWAR SHIKSHAN SAMITI	llunkad@gmail.com	8109242600	26, MEDICAL COMPLEX, G.E ROAD, RAIPUR, CHHATISGARH	RAIPUR	CHHATTISGARH, 	Education & Literacy,Labour & Employment,Rural Development & Poverty Alleviation,Vocational Training,		
58	CG/2018/0207420	Adharshila Shikshan Sangh	pawanraipur1@gmail.com	9009003333	3RD FLOOR, ASHIRWAD TOWERS, BESIDE RAJ THEATRE, G.E. ROAD, RAIPUR, CHHATTISGARH-492001	RAIPUR				
59	CG/2019/0236795	ADHISHREE SEVA SAMITI	adhishreesevasamiti@gmail.com	7999742028	SUBHASH JAIN, BEHIND PUJARI SCHOOL , RAJA TALAB, RAVISHNKAR SHUKLA WARD, RAIPUR CG	RAIPUR	CHHATTISGARH, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Biotechnology,Children,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Micro Finance (SHGs),Micro Small & Medium Enterprises,Nutrition,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,Any Other,		
60	CG/2017/0163946	ADITHYA BIOTECH LAB AND RESEARCH PRIVATE LIMITED 	vtp@rit.edu.in	9329773012	Chandanidih, Nandanvan Road, Raipur, Chhattisgarh	raipur	CHHATTISGARH, 	Agriculture,Environment & Forests,		
61	CG/2018/0192813	ADITYA SEWA SANSTHAN	adityasewa25@yahoo.com	9329874569	JORAPARA, SARKANDA, BILASPUR(C.G)	BILASPUR	CHHATTISGARH, 			
62	CG/2018/0221450	ADIVASI SEWA MANDAL SURGUJA	asmchhattisgarh@rediffmail.com	8458815945	ADIVASHI SEVA MANDAL SURGUJAVILL- BAGHIMA RAJPUR PIN- 497118	AMBIKAPUR	CHHATTISGARH, 	Civic Issues,Environment & Forests,HIV/AIDS,Tribal Affairs,Women's Development & Empowerment,		
63	CG/2017/0181784	Adiwasi Samta Manch	ranjan.induasm@yahoo.com	9589041384	Adiwasi Samta Manch Village and Post-Markatola Tehshil and District-Kanker	Kanker	CHHATTISGARH, 	Agriculture,Art & Culture,Children,Dalit Upliftment,Differently Abled,Education & Literacy,Environment & Forests,Health & Family Welfare,Human Rights,Labour & Employment,Land Resources,Micro Finance (SHGs),Micro Small & Medium Enterprises,Nutrition,Prisoner's Issues,Rural Development & Poverty Alleviation,Tribal Affairs,	http://www.adiwasisamtamanch.org	
64	CG/2020/0271704	ADMYD SOCIETY OF SOCIAL AND CULTURAL ACTIVITY	admyd.raipur@gmail.com	8120000723	H.H.-279, Behind Kapil Porvison Store, Tagore Nagar, Raipur	Raipur 	CHHATTISGARH, 			
65	CG/2018/0213800	ADWITIYA RAYSA BAHUDESHIA EVAM JAN KALYANKARI SANSTHA 	advitiyaraysa2002@gmail.com	9425554543	Mukesh Yadav Dallirajhara road AmaparaBalod DistrictBalod Chhattisgarh Pin no. 491226	Balod	CHHATTISGARH, 	Agriculture,Art & Culture,Children,Civic Issues,Dalit Upliftment,Differently Abled,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Labour & Employment,Panchayati Raj,Rural Development & Poverty Alleviation,Science & Technology,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,		
66	CG/2017/0178466	AGNIHOTR PARYAVARAN SEVA SAMITI	agnihotraparyavaran@gmail.com	7587209610	VILLAGE GHATLOHANGA, NEAR BASTAR HAT BASTARDISTRICT BASTAR	BASTAR				
67	CG/2019/0223726	AGRASAR SANKATMOCHAN SEWA SAMITI	garghardware85@gmail.com	8839195600	CHAKRADHAR NAGAR CHOWK,KASER PARA,RAIGARH (CHHATTISGARH) 496001	Raigarh	CHHATTISGARH, 	Any Other,		
68	CG/2017/0178750	Agrasen Chowk Navyuvak Samiti	kunkuri@gmail.com	9981935555	C/O Binit Jindal, Agrasen Chowk, Main Road, Kunkuri	Jashpur	CHHATTISGARH, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Civic Issues,Education & Literacy,Environment & Forests,Rural Development & Poverty Alleviation,Sports,		
69	CG/2020/0268896	AgroBiotech	agrobiotech96@gmail.com	7389245271	H.No.359, Ashoknagar, Ajirma, Ambikapur, Chhattisgarh, 497001	Ambikapur	CHHATTISGARH, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Information & Communication Technology,Micro Finance (SHGs),Micro Small & Medium Enterprises,New & Renewable Energy,Nutrition,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Urban Development & Poverty Alleviation,Vocational Training,	https://www.agrobiotech.in	
70	CG/2017/0178123	Agrocrats Society For Rural Development	agrocrats_society@rediffmail.com	9993099490	C23, Ground Floor, Behind Bank of Baroda, Shailendra Nagar Raipur	Raipur	CHHATTISGARH, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Biotechnology,Disaster Management,Environment & Forests,Food Processing,Information & Communication Technology,Labour & Employment,Land Resources,Micro Finance (SHGs),New & Renewable Energy,Nutrition,Panchayati Raj,Rural Development & Poverty Alleviation,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,	http://www.agrocrats.org	
71	CG/2019/0223773	AHAMADRAJA WELFARE EDUCATION SOCIETY	abdulpathan008@gmail.com	9981176073	Madarsa Darul Uloom Ghousiya Ajazul Uloom, South Jhagrakhanda Collery, Ledri,Dist. Koriya (C.G.)497448	KORIYA	CHHATTISGARH, 	Children,		
72	CG/2018/0191597	AHLE SUNNAT MUSLIM SANSKRITIK TRUST	faroquekhan01@gmail.com	9827187010	MUSLIM SANSKRITIK BHAWAN KELABADI WARD 41 DURG	DURG	CHHATTISGARH, 	Any Other,		
73	CG/2019/0244119	AKASH MAHILA GRAMUNNAYAN SAMITI MANDALPARA KOREA	RAJWADERAJ0@GMAIL.COM	8964027526	10 MANDALPARA BAIKUNTHPUR POST BAIKUNTHPUR	BAIKUNTHPUR				
74	CG/2020/0251885	AKASH SHIKSHA PRASAR SAMITI DONGAKOHROUD	tarunsahu8768@gmail.com	8085580682	MU. PO DONGAOHROUD BLOCK PAMGARH DIS.JANJGIR CHAMPA C.G.	PAMGARH	CHHATTISGARH, 	Education & Literacy,		
75	CG/2018/0191376	Akhil bhartiya viklang chetna parishad	Medha.agrwl@gmail.com	8109167378	B-7, Sai Homes, Vidya Nagar, Bilaspur, Chhattisgarh	Bilaspur			http://www.nishaktchetna.com/	
76	CG/2017/0177917	Akhil Jan Kalyan Sangh	ajks200@gmail.com	9109988449	In front housing board bakitoli jashpur nagar	jashpur	CHHATTISGARH, 	Agriculture,Children,Education & Literacy,Health & Family Welfare,Rural Development & Poverty Alleviation,Vocational Training,		
77	CG/2019/0249151	AKS FOUNDATION	aksconsultantraipur@gmail.com	9329110617	BEHIND CHOTI MASJID, CHHATTISGARH COLLEGEROAD BYRON BAZAR, RAIPUR C.G	RAIPUR	CHHATTISGARH, 	Agriculture,Art & Culture,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,Human Rights,Labour & Employment,Micro Small & Medium Enterprises,Minority Issues,Nutrition,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Sports,Tourism,Tribal Affairs,Vocational Training,Women's Development & Empowerment,Youth Affairs,		
