S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website
14	AN/2020/0270064	ARULMIGU NAGAKANNI MUTHUMARI AMMAN TEMPLE	anmatemple1974@gmail.com	9734484719	WARD NO. 17, DOLLYGUNJ, NEAR SUB-POST OFFICE	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Any Other,Art & Culture,Civic Issues,		
15	AN/2017/0168803	ASSOCIATION OF CATHOLIC ANDAMAN AND NICOBAR ISLANDS	portblaircathdiocese@gmail.com	9476046491	Deepti Dham, 431, MG Road, PO Junglgihat	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Education & Literacy,Any Other,Vocational Training,Women's Development & Empowerment,Youth Affairs,		
16	AN/2018/0210836	Atul Smrity Samity	atulsmritysamity@gmail.com	9932081580	BENGALI CLUB MIDDLE POINT, PORT BLAIR SOUTH ANDAMAN ANDAMAN AND NICOBAR ISLANDS	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,		
17	AN/2017/0163444	AVINASH SOCIAL AND CULTURAL SOCIETY	avinash1171@gmail.com	9434264221	C 38 ABERDEEN VILLAGEWARD NO 4 P.BOX NO 110 (HPO) ABERDEEN PORT BLAIR	PORTBLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,		
18	AN/2020/0259376	B R W MUSIC WING	brwmusicwing@gmail.com	9434295609	B R W MUSIC WING HOTEL SHAH N SHAH BUILDING, 3Rd FLOOR MOHANPURA PORT BLAIR, SOUTH ANDAMAN.744101	PORT BLAIR				
19	AN/2017/0163476	BAAULMON	baaulmon26@gmail.com	9474212165	SUBHASH NAGAR, SHADIPUR	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,		
20	AN/2020/0259236	BADMINTON ASSOCIATION OF ANDAMAN & NICOBAR ISLANDS	bneel1980@gmail.com	9434293379	AKR Palace, Atlanta Point Road, Near AIDS Head Office Atlanta Point, Port Blair 744101	PORT BLAIR				
21	AN/2017/0162435	Balkrishna Nritya Academy	bnrityaacademy@gmail.com	9933276028	Naya Gaon Dudh Line Port Blair South Andaman -744106	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,HIV/AIDS,Tourism,		
22	AN/2020/0269603	BANGLA SANSKRITI PARISHAD	saraswatibiswas1969@gmail.com	9434276001	PROTHRAPUR PORT BLAIR ANDAMAN AND NICOBAR ISLANDS PIN- 744103	PORT BLAIR			https://ngodarpan.gov.in	
23	AN/2019/0226416	BENGALI HINDU EDUCATION SOCIETY	jbiswas1959@gmail.com	7063927338	Sharma HouseShadipur Post Office Building PO Shadipur Port Blair744103	Port Blair				
24	AN/2018/0196547	Berachah love Home	joseandaman@gmail.com	9933284243	Prothrapur Village, Brichgunj ( P.O.), Port Blair, South Andaman Islands PIN-744105	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Children,Differently Abled,Drinking Water,Education & Literacy,Housing,Legal Awareness & Aid,Nutrition,Rural Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs,Any Other,		
25	AN/2018/0206799	BETHANY CHILDRENS HOME	bethanychildrenshome664@gmail.com	9531922563	CIARI Road, Bhathu Basthi, Garacharma (P.O.), Port Blair South Andaman Port Blair PIN 744103	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Children,Education & Literacy,Vocational Training,Youth Affairs,		
26	AN/2018/0211874	BHARAT SEVASRAM SANGHA	bss.andaman@gmail.com	9007554267	BHARAT SEVASRAM SANGHA JUNGLIGHAT, PORT BLAIR	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Children,Health & Family Welfare,Housing,Any Other,		
27	AN/2019/0245006	Biswas Organization for Social Service	bossandaman@gmail.com	9474231678	SANTANU KADAMTALA MIDDLE ANDAMAN NORTH AND MIDDLE ANDAMAN	RANGAT	ANDAMAN &amp; NICOBAR ISLANDS, 	Any Other,Any Other,		
28	AN/2018/0210223	Calvary Childrens Home	calvarychildrenshome664@gmail.com	9474260190	Badmashpahar, Port Mout, Chouldhari (P.O.), South Andaman Port Blair PIN 744103	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Children,Differently Abled,Education & Literacy,Housing,Vocational Training,		
29	AN/2018/0195372	CAPSTONE MINISTRIES	capstonefamily777@gmail.com	9933233655	H. NO. 1665, WARD NO 23 BIRD LINE	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Children,Disaster Management,Education & Literacy,Health & Family Welfare,Nutrition,Prisoner's Issues,Science & Technology,Vocational Training,Women's Development & Empowerment,		
30	AN/2017/0163360	CHETNA SANSTHA	deepdvs56@gmail.com	9734480814	3, Police Mosque Shopping Complex, Supply Lane, Port Blair	Port Blair				
31	AN/2018/0195161	COAST GUARD EDUCATION SOCIETY	pcrana1733@gmail.com	8900930842	Coast Guard Kindergarten, Panipat Road, Haddo, Port Blair-744 102	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 			
32	AN/2020/0252900	DANCE NRITYA ACADEMY	vijayjoden@gmail.com	9933222120	HOUSE NO 25, DEEN STREET, VILL JUNGLIGHAT, PO JUNGLIGHAT, PS ABERDEEN, PORT BLAIR, SOUTH ANDAMAN, ANDAMAN-744101	JUNGLIGHAT	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,		
33	AN/2020/0259107	DREAM WORLD ENTERTAINERS	dreamworldmusic786@gmail.com	9474234894	DREAM WORLD ENTERTAINERS, GURUDWARA LINE, WORD NO.5, PORT BLAIR.	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Children,Differently Abled,Education & Literacy,Food Processing,Sports,Tourism,Vocational Training,Women's Development & Empowerment,Youth Affairs,Any Other,		
34	AN/2017/0176245	Education Relief & Welfare Section of Anandamarga Pracaraka Samgha of A & N Chapter	shubhadiipananda@gmail.com	9163506534	Junglighat, Portblair 744103	Portblair	ANDAMAN &amp; NICOBAR ISLANDS, 			
35	AN/2017/0169868	EDUCATIONAL & CULTURAL ORGANIZATION	ssaha2499@gmail.com	9933241368	VILL RABINDRA NAGAR, POST VIVEKANANDA PUR, LITTLE ANDAMAN	LITTLE ANDAMAN	ANDAMAN &amp; NICOBAR ISLANDS, 	Children,Dalit Upliftment,Education & Literacy,Rural Development & Poverty Alleviation,		
36	AN/2020/0267086	EMARALD GREEN ISLANDS	mrinalchalder1989@gmail.com	9434294166	VIVEKANANDA COLONY, PROTHRAPUR, SOUTH ANDAMAN	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Agriculture,Children,Disaster Management,Education & Literacy,Environment & Forests,HIV/AIDS,Tourism,Women's Development & Empowerment,Any Other,		
37	AN/2017/0161737	FRIENDS CULTURAL GROUP	mailtofcg@gmail.com	9474271271	Royal Colony Behind Sahara Hotel, Phargoan, P.O. Dollygunj, Port Blair	Port Blair		Art & Culture,		
38	AN/2018/0204283	GOLDEN BIRD NGO	goldenbird9port@gmail.com	9933252549	South Point, Shadipur Post, Port Blair, Andaman -744106	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Rural Development & Poverty Alleviation,		
39	AN/2019/0222971	GREENHANDS	greenhandsportblair@gmail.com	9443314047	GREEN HANDS POST BOX NO 167 H.P.O.,MUNCIPAL COMPLEX , OPP LPG,DELANIPUR PORTBLAIR	PORTBLAIR				
40	AN/2017/0155031	HTPWACC	dasbapi17@gmail.com	9933278289	Chinmaya Mission, Police Line, Port Blair	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Any Other,		
41	AN/2018/0202230	HUMAN WELFARE ORANISATION	humanwefareand@gmail.com	7063992019	Ward No. 2 P.O No. 699 Haddo	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Education & Literacy,		
42	AN/2018/0220254	INDIAN CHRISTIAN FELLOWSHIP	icfpban@gmail.com	9933248156	CIARI Road, Bhathu Basthi, Garacharma (P.O.), Port Blair South Andaman Port Blair PIN 744103	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Children,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Health & Family Welfare,Housing,Nutrition,Sports,Vocational Training,Water Resources,Youth Affairs,Any Other,		
43	AN/2017/0177786	INSPIRATION DANCE STUDIO 	raj.croxzdaworld@gmail.com	9474298707	OPPOSITE TO AGENCY HOUSE WORKSHOP, GARACHARMA	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,	http://www.inspirationds.com	
44	AN/2020/0260016	INTER DENOMINATIONAL GOSPEL MINISTRY	idgmjohn@gmail.com	9434281429	I.D.G.M,Haddo ward No 1, opp lillypurmazid, Post Box No.668,Port Blair Andaman Pin - 744102.	HADDO				
45	AN/2017/0173755	ISLAMIC WELFARE SOCIETY	zubairpbl@gmail.com	9932081771	WIMBERLY GUNJ SOUTH ANDAMAN	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 			
46	AN/2016/0107967	ISLAND DEVELOPMENT ORGANIZATION	idosouthandaman@gmail.com	9476071192	Island Development Organization Santhayalay Building, 1st Floor, Lillypur, Haddo,Port Blair, South Andaman 744102	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Animal Husbandry, Dairying  &  Fisheries,Agriculture,Art & Culture,Civic Issues,Differently Abled,Disaster Management,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Land Resources,Minority Issues,New & Renewable Energy,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Scientific & Industrial Research,Sports,Tribal Affairs,Tourism,Urban Development & Poverty Alleviation,	http://facebook.com/idongo2001	
47	AN/2018/0200867	ISLANDERS SOCIAL MOVEMENT FOR AWARENESS & TRAINING	subash_aditi@rediffmail.com	9474204874	Marin Hill,Port Blair . South Andaman . Andaman and Nicobar Island.	Port Blair 	ANDAMAN &amp; NICOBAR ISLANDS, 	Children,		
48	AN/2017/0158346	ISLANDS INTEGRATED VOLUNTARY HEALTH MISSION	iivhm1553@gmail.com	9531853424	MB-22, Aberdeen Village,	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Any Other,		
49	AN/2010/0028299	Isles Scientific Learning and Educational Society	abdulgafoorpba@gmail.com	9434262464	C-70, Jetty Road, Junglighat, Port Blair, Andaman	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Education & Literacy,Information & Communication Technology,Scientific & Industrial Research,Science & Technology,Vocational Training,	http://www.isles.org.in	
50	AN/2018/0208313	Jhankar Dance Group	devb2307@gmail.com	9083252494	Chouldari, South Andaman,	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 			
51	AN/2017/0176236	JHUMURR (SHASTRIYA - LOK) NRITYANGAN	poddersonali@gmail.com	7063932126	ABERDEEN VILLAGE, PORT BLAIR, SOUTH ANDAMAN,ANDAMAN	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Youth Affairs,Any Other,		
52	AN/2017/0161651	Kasheesh	aasheesh_2007@rediffmail.com	9531809070	HOUSE OPP. OLD CENTRAL EXCISE OFFICE (GROUND FLOOR), R G T ROAD, PORT BLAIR , ANDAMAN	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Children,Civic Issues,Education & Literacy,Tourism,Vocational Training,Women's Development & Empowerment,Youth Affairs,Any Other,		
53	AN/2020/0265233	KHALSA CHARITABLE EDUCATION SOCIETY	khalsapublicschoolpb@gmail.com	9734481819	Gurudwara Line, Aberdeen Bazar, Port Blair	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Education & Literacy,		
54	AN/2017/0162507	KRG KALAI KAVERI SCHOOL	annusa0425@gmail.com	9933264193	KRG KALAI KAVERI SCHOOL NEAR MUTHUMARIAMMAN TEMBLE, BUNIYADABAD,HADDO (PO) PORTBLAIR	PORTBLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,		
55	AN/2020/0259390	LAKSH INSTITUTE OF SHIKSHA EDUCATIONAL SOCIETY	saravanan.laksh.p076@gmail.com	9474278084	BAMBOOFLAT ,PORTBLAIR ,SOUTH ANDAMAN PIN:744107	PORTBLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Land Resources,Labour & Employment,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,		
56	AN/2020/0260847	LIFT INDIA FOUNDATION TRUST	liftindia2020@gmail.com	9474268076	Lift India Foundation Trust Near Govt. Secondary School, Calicut Village, Port Blair, South Andaman PIN : 744105	Port blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Children,Differently Abled,Disaster Management,Education & Literacy,Aged/Elderly,Health & Family Welfare,Labour & Employment,Legal Awareness & Aid,Micro Finance (SHGs),Minority Issues,Prisoner's Issues,Rural Development & Poverty Alleviation,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs,		
57	AN/2018/0218237	LIVING ON THE EDGE - LOTE	PRESIDENT.LOTE@GMAIL.COM	9474248383	OOM BUILDING MAIN ROAD WIMBELRYGUNJ BAZAAR WIMBERLYGUNJ FERRARGUNJ TEHSIL	SOUTH ANDAMAN	ANDAMAN &amp; NICOBAR ISLANDS, 	Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,HIV/AIDS,Information & Communication Technology,Labour & Employment,New & Renewable Energy,Panchayati Raj,Rural Development & Poverty Alleviation,Science & Technology,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Youth Affairs,		
58	AN/2018/0203892	LOVE CHILDREN'S HOME	pastortrwilson@gmail.com	9933250397	LOVE CHILDRENS HOME INDRA NAGAR, MANGLUTAN PORT BLAIR, SOUTH ANDAMAN-744105 ANDAMAN AND NICOBAR ISLANDS	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Children,Education & Literacy,Vocational Training,Youth Affairs,	http://www.lovechildrenhome.org/	
59	AN/2020/0258518	M J Music Academy	MJRIZWAN14@gmail.com	9474254075	Opp. DBRAIT College Loknatha Colony Dollygunj	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Vocational Training,Any Other,		
60	AN/2018/0195344	MAHILA MONDAL OGRABRAJ	mondalmahila@gmail.com	9933270871	Post Ograbraj	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Children,		
61	AN/2019/0225538	Malati Krishna 	kripa_mondal@rediffmail.com	9474278570	Ram Krishna Pur, Little Andaman South Andaman	Hutbay	ANDAMAN &amp; NICOBAR ISLANDS, 	Children,		
62	AN/2021/0272887	MANAV KALYAN SEVA SANGH	manavkalyansevasangh.pb@gmail.com	9474256622	LOKNATH COLONY DOLLYGUNJ	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Children,Aged/Elderly,Urban Development & Poverty Alleviation,Women's Development & Empowerment,Youth Affairs,Any Other,		
63	AN/2017/0153964	METTURU GRAMA ABHIVRUDDHI SANGAM	eshopforguest@gmail.com	9474273242	HADDOWARD NO 2 PORTBLAIR	PORT BLAIR				
64	AN/2017/0161654	Mukta Dhara	ptalukdar26@gmail.com	9679506182	Subhash Gram, Diglipur	Diglipur	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Vocational Training,		
65	AN/2018/0186952	Music Stars	Pmurugaiah80@gmail.com	9933226347	Junglighat, Beside Arafa Electronics,Port Blair, South Andaman- 744103	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Children,Human Rights,		
66	AN/2017/0162034	NAACH ACADEMY OF PERFORMING ARTS	samhita.acharya@gmail.com	9933254264	House No.3 Friends Cooperative Society Lambaline, Port Blair Andaman and Nicobar Islands	Port Blair				
67	AN/2017/0164153	Naveen Cultural Group	naveen.cultural.group@gmail.com	9679562327	Gupta Para Andamans, Andaman	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,		
68	AN/2017/0162846	Netaji Nagar Sanskritik Sangstha	spotlightportblair@gmail.com	9734484455	Vill. Netaji Nagar, P.O. Garacharma, South Andaman, Andaman	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Education & Literacy,Sports,Art & Culture,Education & Literacy,Aged/Elderly,		
69	AN/2018/0198105	NON TEACHING STAFF ASSOCIATION	svigneshwaran456@gmail.com	9933274807	WARD NO 22 PORT BLAIR SOUTH ANDAMAN, ANDAMAN AND NICOBAR ISLANDS744105	PORT BLAIR				
70	AN/2019/0244733	pankh	pankh.andaman@gmail.com	9933205777	88, JN ROAD HADDO	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Children,Civic Issues,Differently Abled,Aged/Elderly,Health & Family Welfare,Women's Development & Empowerment,		
71	MH/2018/0211593	PARIVARTAN SAMAJIK PRATISHTHAN 	parivartan@yahoo.com	8308418686	(GHUMRA)	mha	ANDAMAN &amp; NICOBAR ISLANDS, 	Differently Abled,Differently Abled,		
72	AN/2019/0243608	PASU PAKSHI SANRAKSHAN SANSTHA	gb.mathur_pb2014@yahoo.com	9474215579	House No 087 Biggi Lane Near Bengali Club Port Blair	Port Blair				
73	AN/2017/0167142	PILLAR CLINIC	pillar.porblair@gmail.com	9531922669	PILLAR CLINIC LAMBA LINE P.B.No.536/P.O.JUNGLIGHAT PORT BLAIR-744103- ANDAMAN.	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Health & Family Welfare,		
74	AN/2020/0265114	PRAGATI	pragatingo.1975@gmail.com	9679587714	SHIVNAGARCOLONY AUSTINABAD PORTBLAIR PIN744103	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,		
75	AN/2018/0196641	PRANAB KANYA SANGHA	pranabkanyasangh2018@gmail.com	9836357306	AIR Raod, Delanipur, Port Blair	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Children,Education & Literacy,Women's Development & Empowerment,Children,		
76	AN/2020/0259894	Prayer Power Ministry Association	ppmchurchpb@gmail.com	9933280732	Austinabad, Prothrapur Jn, Port Blair	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Education & Literacy,Vocational Training,		
77	AN/2018/0196926	PRESIDENT MUSLIM EDUCATION SOCIETY	mes_sg@yahoo.com	9434270090	STEWART GUNJ, SOUTH ANDAMAN.	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Education & Literacy,		
78	AN/2018/0204241	Raag, The Music Academy	guiter13@gmail.com	9903123686	RAAG The Music Academy, Shop No 9, Shopping Complex ATR Road, Garacharma, Port Blair- 744105	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,		
79	AN/2018/0191643	Rajya Kalakar Mahasingh	rkmandamannicobar@gmail.com	9679531905	1/86, J N ROAD, HADDO,PORT BLAIR,744101	PORT BLAIR				
80	AN/2017/0167620	Ramakrishna Mission	portblairrkm@gmail.com	9434289964	Ramakrishna Mission Port Blair Andaman 744104	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Education & Literacy,	http://www.portblairrkm.org	
81	AN/2020/0251328	SAHARA	saharafordisables@gmail.com	9434297788	N.N. NAG Building, Ground Floor, Gurudwara Lane	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,Any Other,Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,Any Other,		
82	AN/2019/0237267	SAHYOG	sahyogngo2018@gmail.com	7872317431	Near Agency House, Garacharma, Port Blair	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Differently Abled,Disaster Management,Education & Literacy,Aged/Elderly,Food Processing,Health & Family Welfare,Labour & Employment,Legal Awareness & Aid,Micro Small & Medium Enterprises,Minority Issues,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,		
83	AN/2012/0048849	SAI ANDAMAN NICOBAR MOTIVATION AND EDUCATIONAL TRUST	sanmetportblair@gmail.com	9933205888	SAI ANDAMAN NICOBAR MOTIVATIONAL AND EDUCATIONAL TRUST C/o, Ladies Dreams, Radha Krishna Temple Complex, Near Junglighat Govt. School, Junglighat, Port Blair- 744103	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Art & Culture,Children,Civic Issues,Differently Abled,Disaster Management,Dalit Upliftment,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,Housing,Human Rights,Labour & Employment,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,New & Renewable Energy,Prisoner's Issues,Rural Development & Poverty Alleviation,Scientific & Industrial Research,Sports,Biotechnology,HIV/AIDS,Information & Communication Technology,Land Resources,Legal Awareness & Aid,Nutrition,Panchayati Raj,Science & Technology,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,	http://sanmet.org	
84	AN/2018/0199119	Sardamani Mahila Mondal	sardamanimondal133@gmail.com	8900948089	Near Ferrar Gunj Panchayat Ferrar Gunj, Po. Beach Dera	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Children,Education & Literacy,		
85	AN/2017/0172423	SARMISTHA MUSIC CENTRE GROUP	sarmisthamusiccentregroup@gmail.com	9933211734	Near Community Hall, Junglighat, Ward No. 11Port Blair	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,		
86	AN/2018/0204454	SEVA BHARATI	venkatloga4070@gmail.com	9932081178	Seva Bharati, Near FCI Warehouse, Dollygunj, Port Blair744103	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Civic Issues,Education & Literacy,Environment & Forests,Health & Family Welfare,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,		
